trade_id,date,ticker,company_name,sector,exchange,currency,open,high,low,close,volume,trade_type,trade_price,quantity,trade_value,ma_7,ma_30,rsi,trader_id,broker,commission,net_value,Month,Quarter,Year
TRD-100023,04-01-2021,META,Meta Platforms,Technology,NYSE,CAD,317.35,327.68,317.2,323.44,5321696,BUY,321.62,377,121250.74,316.86,317.55,72.6,TRD1057,Goldman Sachs,121.25,121129.49,1,1,2021
TRD-100007,04-01-2021,TSLA,Tesla Inc.,Automotive,LSE,USD,201.02,203.45,200.29,201.5,642612,BUY,202.04,226,45661.04,203.1,195.17,35.02,TRD1053,Vanguard,45.66,45615.38,1,1,2021
TRD-100004,04-01-2021,MSFT,Microsoft Corporation,Technology,NASDAQ,USD,311.09,313.74,309.29,311.53,622486,SELL,309.68,330,102194.4,308.44,310.47,60,TRD1026,Fidelity,102.19,102092.21,1,1,2021
TRD-100013,04-01-2021,JNJ,Johnson & Johnson,Healthcare,NYSE,USD,159.58,160.3,155.29,156.55,1342192,SELL,157.39,361,56817.79,157.69,157.41,44.91,TRD1045,Robinhood,56.82,56760.97,1,1,2021
TRD-117237,04-01-2021,XOM,Exxon Mobil,Energy,NASDAQ,USD,137.91,140.71,136.05,137.25,714385,BUY,139.76,390,54506.4,136.22,138.31,60.49,TRD1007,Vanguard,54.51,54451.89,1,1,2021
TRD-100040,05-01-2021,TSLA,Tesla Inc.,Automotive,LSE,GBP,202.72,204.48,201.27,202.18,3941671,BUY,201.93,124,25039.32,449.45,197.45,31.47,TRD1070,Schwab,25.04,25014.28,1,1,2021
TRD-131202,05-01-2021,BAC,Bank of America,Financial,NASDAQ,USD,97.49,100.18,96.71,98.83,4392062,BUY,201.93,373,36132.51,99.33,97.98,37.05,TRD1076,Goldman Sachs,36.13,36096.38,1,1,2021
TRD-108238,05-01-2021,DIS,Walt Disney Co.,Communication,NASDAQ,CAD,75.14,76.71,73.57,73.88,24175092,SELL,-5,345,25840.5,74.07,97.98,69.53,TRD1046,Vanguard,25.84,25814.66,1,1,2021
TRD-100046,05-01-2021,JNJ,Johnson & Johnson,Healthcare,LSE,USD,158.45,160.01,153.21,153.63,2555690,BUY,130.99,198,31181.04,153.28,148.57,49.49,TRD1054,Goldman Sachs,31.18,31149.86,1,1,2021
TRD-100061,05-01-2021,DIS,Walt Disney Co.,Communication,TSX,USD,89.37,89.51,87.23,87.47,15991151,SELL,88.08,312,27480.96,87.89,387.2,66,TRD1022,JP Morgan,27.48,27453.48,1,1,2021
TRD-100053,05-01-2021,WMT,Walmart Inc.,Consumer Defensive,TSX,GBP,161.81,162.35,158.45,207.43,1615343,SELL,160.16,234,37477.44,159.7,151.53,61.35,TRD1075,Schwab,37.48,37439.96,1,1,2021
TRD-106169,05-01-2021,JNJ,Johnson & Johnson,Healthcare,LSE,USD,201.13,202.32,191.17,193.02,387342,SELL,195.41,259,50611.19,190.35,188.94,54.96,TRD1037,Fidelity,50.61,50560.58,1,1,2021
TRD-100083,06-01-2021,XOM,Exxon Mobil,Energy,TSX,USD,101.94,102.73,100.08,102.29,1684861,SELL,102.32,352,36016.64,102.68,99,47.78,TRD1068,Fidelity,36.02,35980.62,1,1,2021
TRD-100069,06-01-2021,MICROSOFT,Microsoft Corporation,Technology,NASDAQ,USD,322,324.7,314.41,317.6,7855520,SELL,120.95,470,150503.4,121.36,338.39,38.46,TRD1005,Vanguard,150.5,150352.9,1,1,2021
