Trade_ID,Date,Ticker,Company_Name,Sector,Exchange,Currency,Open,High,Low,Close,Volume,Trade_Type,Trade_Price,Quantity,Trade_Value,MA_7,MA_30,RSI,Trader_ID,Broker,Commission,Net_Value
TRD-134945,2024-07-26,AAPL,Apple Inc.,Technology,NASDAQ,USD,124.47,125.4,123.73,125.0,2968109.0,BUY,123.92,422.0,52294.24,124.81,,49.04,TRD1057,Fidelity,52.29,52241.95
TRD-123987,"Jun 16, 2023",TSLA,Tesla Inc.,Automotive,NYSE,CAD,405.81,405.97,398.46,,5199245.0,1,405.73,,198807.7,403.33,400.04,69.58,TRD1032,Robinhood,198.81,198608.89
TRD-102884,2021-04-22,MSFT,Microsoft Corporation,Technology,NASDAQ,USD,260.47,262.8,254.9,256.02,888228.0,Sell ,262.43,369.0,96836.67,260.1,256.93,47.57,TRD1031,Fidelity,96.84,96739.83
TRD-122847,"May 05, 2023",NVDA,NVIDIA Corporation,Technology,NASDAQ,USD,698.21,699.16,696.77,698.25,4061785.0,Sell,699.1,42.0,29362.2,700.76,694.71,37.01,TRD1046,JP Morgan,29.36,29332.84
TRD-125704,2023-08-21,DIS,Walt Disney Co.,Communication,NYSE,GBP,104.33,106.19,104.17,105.68,3302839.0,Buy,,136.0,14207.92,105.85,110.31,42.11,TRD1008,,14.21,14193.71
TRD-112829,2022-04-27,TSLA,Tesla Inc.,Automotive,TSX,USD,342.43,348.38,323.4,325.83,516346.0,Buy,335.99,237.0,79629.63,324.58,331.01,58.88,TRD1034,Robinhood,79.63,79550.0
TRD-131314,03/13/2024,BAC,Bank of America,Financial,NYSE,USD,100.05,100.99,98.23,98.84,3612042.0,Buy,100.12,,26932.28,98.36,103.28,26.84,TRD1012,Fidelity,26.93,26905.35
TRD-121775,2023-03-29,GOOGL,Alphabet Inc.,Technology,TSX,CAD,114.84,115.3,112.9,113.42,852741.0,S,114.24,427.0,48780.48,115.33,117.83,27.35,TRD1070,Vanguard,48.78,48731.7
TRD-126117,2023-09-05,META,Meta Platforms,Technology,NYSE,USD,589.13,589.52,582.07,584.78,1814757.0,1,586.52,,63930.68,584.7,605.3,73.02,TRD1057,Vanguard,63.93,63866.75
TRD-112362,2022-04-11,AMZN,Amazon.com Inc.,Consumer Cyclical,NYSE,CAD,141.81,143.19,140.88,141.59,9182879.0,Sell,,95.0,13461.5,,146.93,71.53,TRD1015,,13.46,13448.04
TRD-125204,2023-08-02,MSFT,Microsoft Corporation,Technology,LSE,USD,1005.64,1028.37,1001.97,1019.52,20998944.0,Buy,1010.12,244.0,246469.28,1001.54,1044.43,41.58,TRD1022,Schwab,246.47,246222.81
TRD-133285,2024-05-24,XOM,Exxon Mobil,,LSE,USD,120.95,122.21,120.54,,2388617.0,Sell,120.94,171.0,20680.74,121.01,119.1,38.23,TRD1012,Goldman Sachs,20.68,20660.06
TRD-139081,2024-12-26,PFE,Pfizer Inc.,Healthcare,NASDAQ,USD,25.28,25.79,24.99,25.56,,sell,25.71,130.0,3342.3,,25.37,57.81,TRD1011,Goldman Sachs,3.34,3338.96
TRD-135022,2024-07-30,AAPL,Apple Inc.,Technology,TSX,GBP,124.14,124.8,122.19,123.23,2057584.0,Sell,123.99,360.0,44636.4,122.9,127.59,60.47,TRD1053,Fidelity,44.64,44591.76
TRD-121843,"Mar 30, 2023",BAC,  Bank of America  , Financial ,TSX,USD,64.27,64.91,64.1,,5611528.0,Buy,,272.0,17631.04,65.06,64.76,,TRD1002,Schwab,17.63,17613.41
TRD-129396,01/03/2024,NFLX,  Netflix Inc.  , Communication ,TSX,USD,169.72,170.9,166.82,,6427313.0,Buy,167.33,353.0,59067.49,170.5,172.61,56.26,TRD1068,Vanguard,59.07,59008.42
TRD-136416,2024-09-18,XOM,Exxon Mobil,,NYSE,USD,160.61,161.94,158.49,161.51,1448706.0,BUY,160.41,49.0,7860.09,161.34,154.9,72.0,TRD1075,Morgan Stanley,7.86,7852.23
TRD-121895,2023-04-03,AMZN,Amazon.com Inc.,,NASDAQ,GBP,127.19,129.68,125.9,,8096453.0,Sell,128.87,3.0,386.61,130.35,126.77,43.46,TRD1027,Goldman Sachs,0.39,386.22
TRD-127946,11/13/2023,JNJ,Johnson & Johnson,Healthcare,NASDAQ,CAD,425.57,425.69,422.27,422.84,815102.0,SELL,424.17,379.0,160760.43,423.28,423.44,50.78,TRD1076,Goldman Sachs,160.76,160599.67
TRD-110628,2022-02-03,BAC,Bank of America,Financial,TSX,CAD,64.66,64.74,63.37,63.99,12240778.0,SELL,64.13,122.0,7823.86,63.0,63.01,28.29,TRD1040,Goldman Sachs,7.82,7816.04
TRD-117931**,2022-11-07,XOM,Exxon Mobil,Energy,NYSE,,149.74,154.04,148.07,152.62,16801221.0,1,149.62,41.0,6134.42,156.81,147.05,,TRD1078,Goldman Sachs,6.13,6128.29
TRD-137810!!,2024-11-11,AMZN,Amazon.com Inc.,Consumer Cyclical,LSE,USD,133.78,136.97,132.05,,1501882.0,S,133.3,499.0,66516.7,135.86,,54.74,TRD1027,Goldman Sachs,66.52,66450.18
TRD-126792,2023-09-29,NFLX,Netflix Inc.,Communication,NASDAQ,CAD,196.85,202.14,195.96,200.71,31750691.0,S,199.24,461.0,91849.64,199.76,198.69,31.91,TRD1032,Morgan Stanley,91.85,91757.79
TRD-111994,2022-03-28,GOOGL,Alphabet Inc.,Technology,TSX,GBP,107.42,110.33,106.82,108.99,8592293.0,Buy,110.12,6.0,660.72,109.42,108.98,31.42,TRD1006,Morgan Stanley,0.66,660.06
TRD-104859,2021-07-05,DIS,Walt Disney Co.,Communication,TSX,USD,82.74,83.7,79.32,80.54,881823.0,Sell ,83.28,262.0,21819.36,81.64,77.21,40.98,TRD1043,Vanguard,21.82,21797.54
TRD-107022,2021-09-23,WMT,Walmart Inc.,Consumer Defensive,NYSE,,177.16,177.85,176.32,177.11,3085410.0,Sell,,451.0,79606.01,174.44,178.02,53.28,TRD1057,Vanguard,79.61,79526.4
TRD-118736,06 Dec 2022,META,Meta Platforms,Technology,NYSE,USD,519.37,525.43,510.42,517.3,996094.0,BUY,519.47,307.0,159477.29,522.79,502.44,67.76,TRD1062,Schwab,159.48,159317.81
TRD-128232,2023-11-23,MSFT,Microsoft Corporation,Technology,NYSE,GBP,1282.23,1290.25,1210.78,1215.22,,Sell ,1273.32,,584453.88,1226.05,1237.97,43.95,TRD1003,Robinhood,584.45,583869.43
TRD-102960,04/26/2021,MSFT,Microsoft Corporation,Technology,LSE,USD,259.88,270.04,256.01,267.12,10800637.0,buy,270.03,487.0,131504.61,267.33,261.42,70.89,TRD1037,Schwab,131.5,131373.11
TRD-138404,2024/12/03,AMZN,Amazon.com Inc.,Consumer Cyclical,LSE,GBP,145.78,153.39,144.24,152.06,386027.0,BUY,150.88,88.0,13277.44,,153.59,65.45,TRD1040,Morgan Stanley,13.28,13264.16
TRD-134436,2024/07/08,GOOGL,Alphabet Inc.,,NYSE,USD,109.68,109.7,107.11,108.29,541234.0,Sell,108.4,,32953.6,106.76,106.53,59.18,TRD1076,Schwab,32.95,32920.65
TRD-121660,2023-03-23,BAC,Bank of America,Financial,NASDAQ,USD,65.96,66.41,64.79,65.08,47416877.0,Buy,,57.0,3752.31,65.91,66.53,28.17,TRD1032,,3.75,3748.56
TRD-111714,2022-03-16,AMZN,Amazon.com Inc.,,NYSE,CAD,126.96,127.28,124.77,126.79,2774012.0,0,125.84,487.0,61284.08,127.36,127.57,42.33,TRD1002,JP Morgan,61.28,61222.8
TRD-118458,2022-11-25,WMT,Walmart Inc.,Consumer Defensive,LSE,GBP,142.25,133.62018067785286,142.15,145.94,,Buy ,144.73,492.0,71207.16,148.02,151.2,70.48,TRD1028,Schwab,71.21,71135.95
TRD-113713,2022/05/30,NVDA,NVIDIA Corporation,Technology,LSE,GBP,456.18,471.04,453.79,469.34,3223232.0,Buy,470.8,211.0,99338.8,469.87,452.47,54.02,TRD1001,JP Morgan,99.34,99239.46
TRD-101937,2021-03-17,TSLA,Tesla Inc.,Automotive,NASDAQ,CAD,222.18,223.21,213.62,215.34,2376454.0,Sell,215.25,327.0,70386.75,212.62,213.65,,TRD1079,Fidelity,70.39,70316.36
TRD-120978,2023-02-28,aapl,Apple Inc.,Technology,NYSE,USD,145.0,149.96,144.25,149.07,,Sell,146.66,67.0,9826.22,148.82,145.31,44.18,TRD1072,Fidelity,9.83,9816.39
TRD-109876,2022-01-06,NFLX,Netflix Inc.,Communication,LSE,,211.4,214.6,211.37,212.94,16920343.0,1,212.78,486.0,103411.08,,217.5,25.76,TRD1071,Robinhood,103.41,103307.67
TRD-129733,2024-01-16,MSFT,Microsoft Corporation,Technology,LSE,USD,1379.26,1386.7,1379.1,1383.57,1129463.0,Buy,1384.28,468.0,647843.04,1393.75,1368.73,39.11,TRD1047,Vanguard,647.84,647195.2
TRD-128421,"Nov 29, 2023",NFLX,Netflix Inc.,Communication,NASDAQ,CAD,153.94,156.02,151.47,151.89,7459911.0,Buy ,153.86,123.0,18924.78,151.77,156.09,57.68,TRD1035,Morgan Stanley,18.92,18905.86
